,When I work in a group I do higher quality work.,"When I work in a group, I end up doing most of the work.",The work takes more time to complete when I work with other students.,My group members help explain things that I do not understand.,"When I work in a group, I am able to share my ideas.",My group members make me feel that I am not as smart as they are.,The material is easier to understand when I work with other students.,The workload is usually less when I work with other students.,My group members respect my opinions.,I feel I am part of what is going on in the group.,I prefer when one student regularly takes on a leadership role.,I prefer when the leadership role rotates between students.,I do not think a group grade is fair.,I try to make sure my group members learn the material.,I learn to work with students who are different from me.,My group members do not care about my feelings.,I let the other students do most of the work.,I feel working in groups is a waste of time.,I have to work with students who are not as smart as I am.,When I work with other students the work is divided equally.,We cannot complete the assignment unless everyone contributes.,I prefer to take on tasks that I’m already good at.,I also learn when I teach the material to my group members.,I become frustrated when my group members do not understand the material.,Everyone’s ideas are needed if we are going to be successful.,"When I work with other students, we spend too much time talking about other things.",My group did higher quality work when my group members worked on tasks together.,My group did higher quality work when group members worked on different tasks at the same time.,"You have a certain amount of physics intelligence, and you can’t really do much to change it.",Your physics intelligence is something about you that you can’t change very much.,"You can learn new things, but you can’t really change your basic physics intelligence."
When I work in a group I do higher quality work.,1.0,-0.2652,-0.402,0.2939,0.4174,-0.0132,0.2891,0.3007,0.1275,0.1402,-0.1194,0.136,-0.2775,0.3569,0.2781,-0.2012,-0.2527,-0.3408,-0.1018,0.3228,0.2188,-0.0683,0.1905,-0.178,0.2678,-0.0549,0.179,0.1315,0.0972,0.0314,0.0342
"When I work in a group, I end up doing most of the work.",-0.2652,1.0,0.306,-0.327,-0.223,0.1469,-0.3732,-0.4005,-0.3187,-0.1111,0.1145,-0.038,0.4545,-0.109,-0.2789,0.4216,0.1005,0.4427,0.4577,-0.4835,-0.1731,-0.0527,-0.182,0.1116,-0.3847,0.0092,-0.0488,-0.207,0.1653,0.1919,0.2402
The work takes more time to complete when I work with other students.,-0.402,0.306,1.0,-0.2136,-0.3051,0.1506,-0.3161,-0.446,-0.212,-0.2203,0.1175,-0.1619,0.2386,-0.0265,-0.2001,0.157,0.1339,0.3793,0.1523,-0.3655,-0.1692,-0.05,-0.2799,0.1608,-0.3447,0.3284,-0.2067,-0.1032,0.06,0.0428,0.1036
My group members help explain things that I do not understand.,0.2939,-0.327,-0.2136,1.0,0.3411,-0.0668,0.5546,0.2009,0.3369,0.2512,-0.1921,0.0067,-0.3224,0.1803,0.2493,-0.413,-0.0992,-0.2624,-0.2582,0.2843,0.165,0.0467,0.3368,-0.1318,0.3488,-0.1642,0.2483,-0.0586,-0.0393,-0.0785,-0.114
"When I work in a group, I am able to share my ideas.",0.4174,-0.223,-0.3051,0.3411,1.0,-0.2381,0.4482,0.2826,0.3328,0.291,-0.1373,0.0589,-0.2286,0.238,0.2066,-0.3261,-0.1694,-0.3848,-0.127,0.1444,0.1983,0.0014,0.35,-0.1024,0.3974,-0.2279,0.2853,0.0598,-0.0287,-0.1409,-0.1298
My group members make me feel that I am not as smart as they are.,-0.0132,0.1469,0.1506,-0.0668,-0.2381,1.0,-0.1458,-0.0826,-0.369,-0.3563,-0.0539,0.0234,0.019,-0.1505,-0.0761,0.1967,0.3037,0.1787,0.1377,-0.1265,-0.0758,0.1227,-0.2302,0.1745,-0.0335,0.0433,-0.0825,0.1197,0.2634,0.2355,0.239
The material is easier to understand when I work with other students.,0.2891,-0.3732,-0.3161,0.5546,0.4482,-0.1458,1.0,0.2652,0.386,0.2351,-0.1606,0.1457,-0.3382,0.3218,0.221,-0.4281,-0.1928,-0.5247,-0.134,0.345,0.3395,0.0335,0.4955,-0.0478,0.3728,-0.1511,0.2895,-0.0391,-0.0348,-0.1082,-0.1364
The workload is usually less when I work with other students.,0.3007,-0.4005,-0.446,0.2009,0.2826,-0.0826,0.2652,1.0,0.2816,0.1786,-0.1645,0.1163,-0.1857,0.042,0.1224,-0.2717,0.0669,-0.2543,-0.057,0.2306,0.1243,0.0074,0.2771,0.0294,0.362,-0.0675,0.0993,0.235,0.0032,-0.059,-0.1056
My group members respect my opinions.,0.1275,-0.3187,-0.212,0.3369,0.3328,-0.369,0.386,0.2816,1.0,0.2893,-0.0744,-0.0114,-0.1607,0.1422,0.2392,-0.5394,-0.1749,-0.3256,-0.2214,0.3157,0.2222,0.0215,0.3095,-0.1818,0.2317,-0.1323,0.2138,-0.05,-0.1721,-0.2209,-0.145
I feel I am part of what is going on in the group.,0.1402,-0.1111,-0.2203,0.2512,0.291,-0.3563,0.2351,0.1786,0.2893,1.0,0.087,-0.0851,-0.1742,0.2266,0.2121,-0.2927,-0.2144,-0.2142,-0.0477,0.1294,0.0021,-0.0249,0.296,-0.0706,0.1254,-0.079,0.1005,-0.0988,-0.2592,-0.2497,-0.3152
I prefer when one student regularly takes on a leadership role.,-0.1194,0.1145,0.1175,-0.1921,-0.1373,-0.0539,-0.1606,-0.1645,-0.0744,0.087,1.0,-0.2545,0.2065,0.0049,-0.088,0.0864,0.0618,0.1642,0.1426,-0.1594,-0.1023,0.0436,0.0272,0.1623,-0.1972,0.0275,-0.0279,-0.022,-0.066,-0.0345,-0.0045
I prefer when the leadership role rotates between students.,0.136,-0.038,-0.1619,0.0067,0.0589,0.0234,0.1457,0.1163,-0.0114,-0.0851,-0.2545,1.0,-0.1649,0.1852,0.1356,-0.0269,-0.0549,-0.15,-0.0814,0.2882,0.1999,-0.2902,0.023,-0.0332,0.1945,0.0124,-0.0038,0.0249,-0.0657,-0.1756,-0.0875
I do not think a group grade is fair.,-0.2775,0.4545,0.2386,-0.3224,-0.2286,0.019,-0.3382,-0.1857,-0.1607,-0.1742,0.2065,-0.1649,1.0,-0.1909,-0.3595,0.4177,0.1881,0.6055,0.3704,-0.339,-0.1853,-0.1129,-0.2045,0.047,-0.2767,0.1019,-0.1096,-0.0976,0.109,0.1301,0.1724
I try to make sure my group members learn the material.,0.3569,-0.109,-0.0265,0.1803,0.238,-0.1505,0.3218,0.042,0.1422,0.2266,0.0049,0.1852,-0.1909,1.0,0.3363,-0.1801,-0.2168,-0.2291,-0.0555,0.2654,0.4101,-0.0124,0.3119,-0.3456,0.263,0.0258,0.2314,0.0348,-0.0532,-0.1726,-0.1658
I learn to work with students who are different from me.,0.2781,-0.2789,-0.2001,0.2493,0.2066,-0.0761,0.221,0.1224,0.2392,0.2121,-0.088,0.1356,-0.3595,0.3363,1.0,-0.3533,-0.0793,-0.3881,-0.1068,0.3247,0.2048,0.0829,0.2755,-0.2233,0.24,-0.1755,0.2414,0.1508,-0.1179,-0.1233,-0.1391
My group members do not care about my feelings.,-0.2012,0.4216,0.157,-0.413,-0.3261,0.1967,-0.4281,-0.2717,-0.5394,-0.2927,0.0864,-0.0269,0.4177,-0.1801,-0.3533,1.0,0.2126,0.4167,0.2687,-0.2992,-0.0951,-0.1728,-0.3467,0.0482,-0.2684,0.0524,-0.1785,-0.1117,0.1489,0.2456,0.2636
I let the other students do most of the work.,-0.2527,0.1005,0.1339,-0.0992,-0.1694,0.3037,-0.1928,0.0669,-0.1749,-0.2144,0.0618,-0.0549,0.1881,-0.2168,-0.0793,0.2126,1.0,0.3759,0.1899,-0.2314,-0.0868,0.1454,-0.0462,0.2361,-0.1039,0.1378,-0.2475,0.0204,0.3357,0.3321,0.3288
I feel working in groups is a waste of time.,-0.3408,0.4427,0.3793,-0.2624,-0.3848,0.1787,-0.5247,-0.2543,-0.3256,-0.2142,0.1642,-0.15,0.6055,-0.2291,-0.3881,0.4167,0.3759,1.0,0.2476,-0.3018,-0.1888,-0.0822,-0.3618,0.1745,-0.3512,0.1516,-0.2968,-0.1291,0.2073,0.2331,0.2244
I have to work with students who are not as smart as I am.,-0.1018,0.4577,0.1523,-0.2582,-0.127,0.1377,-0.134,-0.057,-0.2214,-0.0477,0.1426,-0.0814,0.3704,-0.0555,-0.1068,0.2687,0.1899,0.2476,1.0,-0.2263,-0.2225,-0.1664,0.0065,0.1905,-0.4541,0.2084,0.0366,-0.1647,0.0824,0.1511,0.1294
When I work with other students the work is divided equally.,0.3228,-0.4835,-0.3655,0.2843,0.1444,-0.1265,0.345,0.2306,0.3157,0.1294,-0.1594,0.2882,-0.339,0.2654,0.3247,-0.2992,-0.2314,-0.3018,-0.2263,1.0,0.3515,-0.1654,0.1127,-0.1225,0.2327,-0.1017,0.0328,-0.0308,-0.1889,-0.2289,-0.2267
We cannot complete the assignment unless everyone contributes.,0.2188,-0.1731,-0.1692,0.165,0.1983,-0.0758,0.3395,0.1243,0.2222,0.0021,-0.1023,0.1999,-0.1853,0.4101,0.2048,-0.0951,-0.0868,-0.1888,-0.2225,0.3515,1.0,0.0153,0.1487,-0.1195,0.2676,0.0333,0.0695,0.0469,0.0667,0.0443,0.0119
I prefer to take on tasks that I’m already good at.,-0.0683,-0.0527,-0.05,0.0467,0.0014,0.1227,0.0335,0.0074,0.0215,-0.0249,0.0436,-0.2902,-0.1129,-0.0124,0.0829,-0.1728,0.1454,-0.0822,-0.1664,-0.1654,0.0153,1.0,-0.0113,0.0909,0.0968,-0.0732,-0.029,0.0852,0.1793,0.1555,0.1022
I also learn when I teach the material to my group members.,0.1905,-0.182,-0.2799,0.3368,0.35,-0.2302,0.4955,0.2771,0.3095,0.296,0.0272,0.023,-0.2045,0.3119,0.2755,-0.3467,-0.0462,-0.3618,0.0065,0.1127,0.1487,-0.0113,1.0,-0.0724,0.2594,-0.0077,0.2557,0.0539,-0.1184,-0.1362,-0.1296
I become frustrated when my group members do not understand the material.,-0.178,0.1116,0.1608,-0.1318,-0.1024,0.1745,-0.0478,0.0294,-0.1818,-0.0706,0.1623,-0.0332,0.047,-0.3456,-0.2233,0.0482,0.2361,0.1745,0.1905,-0.1225,-0.1195,0.0909,-0.0724,1.0,-0.2318,0.1904,-0.1208,0.1154,0.0538,0.1621,0.1393
Everyone’s ideas are needed if we are going to be successful.,0.2678,-0.3847,-0.3447,0.3488,0.3974,-0.0335,0.3728,0.362,0.2317,0.1254,-0.1972,0.1945,-0.2767,0.263,0.24,-0.2684,-0.1039,-0.3512,-0.4541,0.2327,0.2676,0.0968,0.2594,-0.2318,1.0,-0.122,0.1847,0.2949,-0.0842,-0.1469,-0.1499
"When I work with other students, we spend too much time talking about other things.",-0.0549,0.0092,0.3284,-0.1642,-0.2279,0.0433,-0.1511,-0.0675,-0.1323,-0.079,0.0275,0.0124,0.1019,0.0258,-0.1755,0.0524,0.1378,0.1516,0.2084,-0.1017,0.0333,-0.0732,-0.0077,0.1904,-0.122,1.0,-0.0483,0.0632,0.1098,0.0987,0.0967
My group did higher quality work when my group members worked on tasks together.,0.179,-0.0488,-0.2067,0.2483,0.2853,-0.0825,0.2895,0.0993,0.2138,0.1005,-0.0279,-0.0038,-0.1096,0.2314,0.2414,-0.1785,-0.2475,-0.2968,0.0366,0.0328,0.0695,-0.029,0.2557,-0.1208,0.1847,-0.0483,1.0,0.0038,-0.0595,0.0081,0.0355
My group did higher quality work when group members worked on different tasks at the same time.,0.1315,-0.207,-0.1032,-0.0586,0.0598,0.1197,-0.0391,0.235,-0.05,-0.0988,-0.022,0.0249,-0.0976,0.0348,0.1508,-0.1117,0.0204,-0.1291,-0.1647,-0.0308,0.0469,0.0852,0.0539,0.1154,0.2949,0.0632,0.0038,1.0,-0.1491,-0.1266,-0.1014
"You have a certain amount of physics intelligence, and you can’t really do much to change it.",0.0972,0.1653,0.06,-0.0393,-0.0287,0.2634,-0.0348,0.0032,-0.1721,-0.2592,-0.066,-0.0657,0.109,-0.0532,-0.1179,0.1489,0.3357,0.2073,0.0824,-0.1889,0.0667,0.1793,-0.1184,0.0538,-0.0842,0.1098,-0.0595,-0.1491,1.0,0.8624,0.8094
Your physics intelligence is something about you that you can’t change very much.,0.0314,0.1919,0.0428,-0.0785,-0.1409,0.2355,-0.1082,-0.059,-0.2209,-0.2497,-0.0345,-0.1756,0.1301,-0.1726,-0.1233,0.2456,0.3321,0.2331,0.1511,-0.2289,0.0443,0.1555,-0.1362,0.1621,-0.1469,0.0987,0.0081,-0.1266,0.8624,1.0,0.9078
"You can learn new things, but you can’t really change your basic physics intelligence.",0.0342,0.2402,0.1036,-0.114,-0.1298,0.239,-0.1364,-0.1056,-0.145,-0.3152,-0.0045,-0.0875,0.1724,-0.1658,-0.1391,0.2636,0.3288,0.2244,0.1294,-0.2267,0.0119,0.1022,-0.1296,0.1393,-0.1499,0.0967,0.0355,-0.1014,0.8094,0.9078,1.0
